loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies,issue_d,earliest_cr_line
15225.0, 36 months,8.49,480.55,B,B1,3 years,OWN,40000.0,Not Verified,debt_consolidation,21.21,0.0,685.0,689.0,12.0,1.0,5278.0,31.0,30.0,0.0,0.0,Dec-2015,May-1999
14000.0, 36 months,9.8,450.43,B,B3,10+ years,MORTGAGE,130000.0,Source Verified,credit_card,11.99,0.0,675.0,679.0,14.0,0.0,78106.0,85.1,28.0,5.0,0.0,Dec-2015,Jan-1999
5600.0, 36 months,10.78,182.76,B,B4,10+ years,OWN,46000.0,Source Verified,credit_card,13.18,0.0,660.0,664.0,7.0,0.0,8773.0,84.4,14.0,1.0,0.0,Dec-2015,Dec-2004
18000.0, 36 months,6.99,555.71,A,A3,10+ years,OWN,120000.0,Not Verified,credit_card,14.88,1.0,710.0,714.0,7.0,0.0,41266.0,63.5,13.0,3.0,0.0,Dec-2015,Nov-1983
15125.0, 60 months,18.49,388.12,D,D5,10+ years,MORTGAGE,61000.0,Verified,debt_consolidation,25.38,0.0,680.0,684.0,16.0,0.0,19934.0,47.0,18.0,1.0,0.0,Dec-2015,Apr-2012
6000.0, 36 months,10.78,195.81,B,B4,< 1 year,MORTGAGE,57000.0,Source Verified,debt_consolidation,18.34,2.0,690.0,694.0,12.0,0.0,10706.0,21.1,23.0,1.0,0.0,Dec-2015,Jun-2003
28000.0, 36 months,6.49,858.05,A,A2,10+ years,MORTGAGE,92000.0,Not Verified,debt_consolidation,21.6,0.0,720.0,724.0,16.0,0.0,51507.0,64.5,24.0,2.0,0.0,Dec-2015,May-1984
5000.0, 36 months,11.48,164.84,B,B5,1 year,RENT,17000.0,Source Verified,other,27.9,0.0,690.0,694.0,8.0,0.0,6378.0,44.3,11.0,0.0,0.0,Dec-2015,Aug-2011
20000.0, 36 months,9.17,637.58,B,B2,,MORTGAGE,60000.0,Source Verified,credit_card,10.45,0.0,665.0,669.0,10.0,1.0,10874.0,52.3,36.0,5.0,1.0,Dec-2015,Apr-2000
35000.0, 60 months,11.99,778.38,C,C1,< 1 year,MORTGAGE,148000.0,Source Verified,credit_card,13.33,0.0,735.0,739.0,11.0,0.0,43397.0,54.0,26.0,5.0,0.0,Dec-2015,Nov-1985
11000.0, 36 months,7.91,344.25,A,A5,3 years,MORTGAGE,77000.0,Not Verified,debt_consolidation,28.73,2.0,685.0,689.0,11.0,0.0,10919.0,60.3,25.0,3.0,0.0,Dec-2015,Mar-2004
31075.0, 36 months,7.49,966.49,A,A4,10+ years,RENT,70000.0,Source Verified,credit_card,17.18,0.0,725.0,729.0,10.0,0.0,31640.0,48.6,28.0,3.0,0.0,Dec-2015,Apr-1991
